ticker,weight,sector,score,rationale_summary
BAYN,0.011701,Health Care,0.6750,"Sector rank 2, score 0.67"
STJ,0.011672,Health Care,0.6733,"Sector rank 3, score 0.67"
UTHR,0.011593,Health Care,0.6687,"Sector rank 4, score 0.67"
SHP,0.011557,Health Care,0.6667,"Sector rank 5, score 0.67"
ABBV,0.011499,Health Care,0.6633,"Sector rank 6, score 0.66"
ROG,0.011337,Health Care,0.6540,"Sector rank 7, score 0.65"
COLOB,0.011203,Health Care,0.6462,"Sector rank 8, score 0.65"
ALXN,0.011144,Health Care,0.6429,"Sector rank 9, score 0.64"
CELG,0.010991,Health Care,0.6340,"Sector rank 10, score 0.63"
MTD,0.010979,Health Care,0.6333,"Sector rank 11, score 0.63"
QIA,0.010869,Health Care,0.6270,"Sector rank 12, score 0.63"
ISRG,0.010575,Health Care,0.6100,"Sector rank 13, score 0.61"
CI,0.010553,Health Care,0.6088,"Sector rank 14, score 0.61"
NOVN,0.010553,Health Care,0.6088,"Sector rank 14, score 0.61"
WAT,0.010517,Health Care,0.6067,"Sector rank 16, score 0.61"
MCK,0.010471,Health Care,0.6040,"Sector rank 17, score 0.60"
CPI,0.012592,Industrials,0.6871,"Sector rank 1, score 0.69"
BA,0.012217,Industrials,0.6667,"Sector rank 2, score 0.67"
COL,0.012034,Industrials,0.6567,"Sector rank 3, score 0.66"
FAST,0.011606,Industrials,0.6333,"Sector rank 4, score 0.63"
DHL,0.011126,Industrials,0.6071,"Sector rank 5, score 0.61"
RTN,0.011057,Industrials,0.6033,"Sector rank 6, score 0.60"
SNA,0.010858,Industrials,0.5925,"Sector rank 7, score 0.59"
BXB,0.010776,Industrials,0.5880,"Sector rank 8, score 0.59"
DAL,0.010757,Industrials,0.5870,"Sector rank 9, score 0.59"
AMS,0.012319,Information Technology,0.7333,"Sector rank 1, score 0.73"
AAPL,0.012239,Information Technology,0.7286,"Sector rank 2, score 0.73"
SAP,0.011829,Information Technology,0.7042,"Sector rank 3, score 0.70"
AVGO,0.011759,Information Technology,0.7000,"Sector rank 4, score 0.70"
SWKS,0.011675,Information Technology,0.6950,"Sector rank 5, score 0.69"
PAYX,0.011615,Information Technology,0.6914,"Sector rank 6, score 0.69"
XLNX,0.011558,Information Technology,0.6880,"Sector rank 7, score 0.69"
FFIV,0.011390,Information Technology,0.6780,"Sector rank 8, score 0.68"
ASML,0.011276,Information Technology,0.6713,"Sector rank 9, score 0.67"
META,0.011037,Information Technology,0.6570,"Sector rank 10, score 0.66"
INTU,0.010836,Information Technology,0.6450,"Sector rank 11, score 0.65"
IT,0.010812,Information Technology,0.6436,"Sector rank 12, score 0.64"
005930,0.010535,Information Technology,0.6271,"Sector rank 13, score 0.63"
ANSS,0.010320,Information Technology,0.6143,"Sector rank 14, score 0.61"
V,0.010320,Information Technology,0.6143,"Sector rank 14, score 0.61"
VRSN,0.010315,Information Technology,0.6140,"Sector rank 16, score 0.61"
DD,0.013791,Materials,0.6300,"Sector rank 1, score 0.63"
AGU,0.013548,Materials,0.6189,"Sector rank 2, score 0.62"
SCMN,0.009241,Telecommunication Services,0.5670,"Sector rank 1, score 0.57"
PPL,0.012683,Utilities,0.7933,"Sector rank 1, score 0.79"
